"Year","Municipality","birth_numb","fetal_growth","lbw","lbw_v","weight","female","gest_age","preterm","preterm_v","resp_problem","height","sh_e_mt_lmbirth","sh_e_mt_fmtrim1","sh_e_mt_fmtrim2","sh_e_mt_fmtrim3","sh_e_mt_fmtrim4","sh_e_mt_fmtrim5","sh_e_mt_fmtrim6","log_pop_tot_2010","pop_tot_2010","pop_5_2010","pop_65_2010","farming_land_2005","hi_2010","unemp_2010","ing_ctpc_2010","exp_transfers_pc","exp_public_inv_pc","urb_cat","wrk","tra_1","tra_2","tra_4","tra_5","tra_6","tra_7","tra_8","tra_9","age_mother","years_edu","eda_1","eda_2","eda_3","edu_1","edu_2","edu_3","edu_4","edu_5","mar_1","mar_2","mar_3","mar_4","ins_1","ins_2","ins_3","pov_per_2010","pov_num_2010","pov_food_per_2010","pov_food_num_2010","pop_mun_fem_1544_2010","income_lbm_2010","income_eligible_lb","income_eligible_lbm","tarjetasinhambre","ever_loc_k","loc_stores","tao_lg5_mt_lmbirth","tao_lg4_mt_lmbirth","tao_lg3_mt_lmbirth","tao_lg2_mt_lmbirth","tao_lg1_mt_lmbirth","tao_lg0_mt_lmbirth","tao_ld1_mt_lmbirth","tao_ld2_mt_lmbirth","tao_ld3_mt_lmbirth","tao_ld4_mt_lmbirth","State","counter","count_balance","count_treat","birth_numb25","birth_numb25_sum"
2008,7001,42,81.1122694823476,0.0714285714285714,0,3168.35714285714,0.452380952380952,39.219512195122,0.0975609756097561,0.024390243902439,0.0714285714285714,49.8333333333333,0,0,0,0,0,0,0,10,16814,14,5,1,61,3,1035,133,1281,0.30952380952381,0,0,0,0,0,0,0,0,0,25.0952380952381,6.28571428571429,0.0952380952380952,0.714285714285714,0.19047619047619,0.166666666666667,0.452380952380952,0.333333333333333,0.0476190476190476,0,0.69047619047619,0.261904761904762,0,0.0476190476190476,0.595238095238095,0,0,37.864269,6177,18.811331,3068.6924,3918,64,1,1,0,0,0.714285714285714,1,0,0,0,0,0,0,0,0,0,7,1,10,2,1,10
2009,7001,125,81.5926807257165,0.08,0,3203.76,0.488,39.2096774193548,0.0483870967741935,0,0.016,49.816,0,0,0,0,0,0,0,10,16814,14,5,1,61,3,1035,175,2358,0.552,0,0,0,0,0,0,0,0,0,25.456,7.704,0.208,0.512,0.28,0.08,0.384,0.376,0.136,0.024,0.552,0.384,0.008,0.056,0.784,0,0,37.864269,6177,18.811331,3068.6924,3918,64,1,1,0,0,0.8,1,0,0,0,0,0,0,0,0,0,7,1,10,2,1,10
2010,7001,125,81.437809684104,0.04,0.008,3196.624,0.5,39.1885245901639,0.0573770491803279,0.0163934426229508,0.032,49.608,0,0,0,0,0,0,0,10,16814,14,5,1,61,3,1035,126,1547,0.784,0,0,0,0,0,0,0,0,0,24.104,6.864,0.232,0.592,0.176,0.064,0.528,0.4,0.008,0,0.576,0.328,0,0.096,0.488,0,0,37.864269,6177,18.811331,3068.6924,3918,64,1,1,0,0,0.904,1,0,0,0,0,0,0,0,0,0,7,1,10,2,1,10
2011,7001,191,82.9351839942351,0.0446927374301676,0,3259.90502793296,0.455497382198953,39.1481481481481,0.0634920634920635,0.00529100529100529,0.0104712041884817,49.92,0,0,0,0,0,0,0,10,16814,14,5,1,61,3,1035,173,1555,0.675392670157068,0.00523560209424084,0,0,0,0,0,0,0,0.00523560209424084,25.303664921466,6.61256544502618,0.214659685863874,0.523560209424084,0.261780104712042,0.104712041884817,0.492146596858639,0.392670157068063,0.0104712041884817,0,0.659685863874346,0.272251308900524,0.0157068062827225,0.0523560209424084,0.204188481675393,0,0,37.864269,6177,18.811331,3068.6924,3918,64,1,1,0,0,0.842931937172775,1,0,0,0,0,0,0,0,0,0,7,1,10,2,1,10
2012,7001,93,79.1615830373659,0.0714285714285714,0,3112.90476190476,0.602150537634409,39.1827956989247,0.043010752688172,0,0.0537634408602151,49.5217391304348,0,0,0,0,0,0,0,10,16814,14,5,1,61,3,1035,149,2588,0.559139784946237,0,0,0,0,0,0,0,0,0,24.989247311828,6.38709677419355,0.236559139784946,0.526881720430108,0.236559139784946,0.0860215053763441,0.612903225806452,0.301075268817204,0,0,0.774193548387097,0.204301075268817,0,0.021505376344086,0.741935483870968,0.010752688172043,0,37.864269,6177,18.811331,3068.6924,3918,64,1,1,0,0,0.78494623655914,0,1,0,0,0,0,0,0,0,0,7,1,10,2,1,10
2013,7001,165,78.9292614398664,0.0454545454545455,0.012987012987013,3088.50649350649,0.490909090909091,38.9757575757576,0.0545454545454545,0.0181818181818182,0.284848484848485,49.4355828220859,0,0,0,0,0,0,0,10,16814,14,5,1,61,3,1035,219,1904,0.727272727272727,0,0,0,0,0,0,0,0,0,24.3515151515152,7.07272727272727,0.248484848484848,0.551515151515152,0.2,0.0545454545454545,0.478787878787879,0.466666666666667,0,0,0.642424242424242,0.303030303030303,0.00606060606060606,0.0484848484848485,0.854545454545454,0.0424242424242424,0,37.864269,6177,18.811331,3068.6924,3918,64,1,1,0,0,0.884848484848485,0,0,1,0,0,0,0,0,0,0,7,1,10,2,1,10
2014,7001,276,80.553492103608,0.037593984962406,0.0037593984962406,3148.96616541353,0.532608695652174,39.0326086956522,0.0507246376811594,0.0072463768115942,0.0688405797101449,49.7272727272727,0,0,0,0,0,0,0,10,16814,14,5,1,61,3,1035,211,2475,0.666666666666667,0.0072463768115942,0,0,0,0,0,0,0,0.0072463768115942,24.3985507246377,8.06521739130435,0.177536231884058,0.634057971014493,0.188405797101449,0.0507246376811594,0.373188405797101,0.36231884057971,0.213768115942029,0,0.597826086956522,0.322463768115942,0,0.0797101449275362,0.905797101449275,0.0144927536231884,0,37.864269,6177,18.811331,3068.6924,3918,64,1,1,0,0,0.876811594202899,0,0,0,1,0,0,0,0,0,0,7,1,10,2,1,10
2015,7001,264,81.6568872986192,0.0454545454545455,0.00413223140495868,3181.43801652893,0.473484848484849,38.8219696969697,0.0454545454545455,0.00757575757575758,0.0454545454545455,49.8063241106719,0,0,0,0,0,0,0,10,16814,14,5,1,61,3,1035,225,1856,0.439393939393939,0.00757575757575758,0,0.00378787878787879,0.00378787878787879,0,0,0,0,0,24.9886363636364,7.98863636363636,0.166666666666667,0.613636363636364,0.21969696969697,0.0643939393939394,0.359848484848485,0.359848484848485,0.215909090909091,0,0.564393939393939,0.348484848484849,0,0.0871212121212121,0.935606060606061,0.00757575757575758,0,37.864269,6177,18.811331,3068.6924,3918,64,1,1,0,0,0.814393939393939,0,0,0,0,1,0,0,0,0,0,7,1,10,2,1,10
2016,7001,148,81.4599349564668,0.0425531914893617,0,3170.52482269504,0.445945945945946,38.8231292517007,0.0476190476190476,0.00680272108843537,0.0608108108108108,49.7304964539007,1,1,0,0,0,0,0,10,16814,14,5,1,61,3,1035,159,1742,0.574324324324324,0,0,0,0,0,0,0,0,0,24.5810810810811,7.96621621621622,0.175675675675676,0.635135135135135,0.189189189189189,0.0878378378378378,0.290540540540541,0.412162162162162,0.209459459459459,0,0.594594594594595,0.317567567567568,0,0.0878378378378378,0.972972972972973,0.0135135135135135,0,37.864269,6177,18.811331,3068.6924,3918,64,1,1,0,0,0.824324324324324,0,0,0,0,0,1,0,0,0,0,7,1,10,2,1,10
2017,7001,228,80.9221315533582,0.0651162790697674,0,3150.10697674419,0.486842105263158,38.8070175438597,0.0394736842105263,0.0087719298245614,0.0789473684210526,49.7614678899083,1,1,1,1,1,1,1,10,16814,14,5,1,61,3,1035,152,1780,0.539473684210526,0,0,0,0,0,0,0,0,0,24.8245614035088,8.27631578947368,0.228070175438596,0.539473684210526,0.232456140350877,0.0307017543859649,0.324561403508772,0.469298245614035,0.175438596491228,0,0.600877192982456,0.289473684210526,0,0.109649122807018,0.934210526315789,0.0175438596491228,0,37.864269,6177,18.811331,3068.6924,3918,64,1,1,0,0,0.846491228070175,0,0,0,0,0,0,1,0,0,0,7,1,10,2,1,10
