"Year","Municipality","fetal_numb_pc","fetal_numb","sh_e_mt_lmbirth","sh_e_mt_fmtrim1","sh_e_mt_fmtrim2","sh_e_mt_fmtrim3","sh_e_mt_fmtrim4","sh_e_mt_fmtrim5","sh_e_mt_fmtrim6","log_pop_tot_2010","pop_tot_2010","pop_5_2010","pop_65_2010","farming_land_2005","hi_2010","unemp_2010","ing_ctpc_2010","exp_transfers_pc","exp_public_inv_pc","urb","tra_1","tra_2","tra_4","tra_5","tra_6","tra_7","tra_8","tra_9","age_mother","years_edu","eda_1","eda_2","eda_3","edu_1","edu_2","edu_3","edu_4","edu_5","mar_1","mar_2","mar_3","mar_4","ins_1","ins_2","ins_3","pov_per_2010","pov_num_2010","pov_food_per_2010","pov_food_num_2010","pop_mun_fem_1544_2010","income_lbm_2010","income_eligible_lb","income_eligible_lbm","tarjetasinhambre","ever_loc_k","loc_stores","counter","count_balance","count_treat","fetal_numb25","fetal_numb25_sum"
2008,1001,6.72474856912294,135,0,0,0,0,0,0,0,14,797010,12,5,49,76,6,3530,271,342,0.933333333333333,0,0.911111111111111,0.0222222222222222,0.0296296296296296,0,0,0.0296296296296296,0,26.6296296296296,7.77777777777778,0.237037037037037,0.392592592592593,0.37037037037037,0.0888888888888889,0.288888888888889,0.474074074074074,0.148148148148148,0,0.278195488721804,0.556390977443609,0.0300751879699248,0.135338345864662,0.37037037037037,0.474074074074074,0.00740740740740741,2.2644801,17987,1.9511,15497.665,200751,10,0.0075187969924812,0,0,0,0,1,10,5,1,10
2009,1001,5.28017295057061,106,0,0,0,0,0,0,0,14,797010,12,5,49,76,6,3530,97,1593,0.905660377358491,0,0.89622641509434,0.0471698113207547,0.0283018867924528,0,0.00943396226415094,0.0188679245283019,0,27.0660377358491,8.08490566037736,0.188679245283019,0.452830188679245,0.358490566037736,0.0849056603773585,0.226415094339623,0.537735849056604,0.132075471698113,0.0188679245283019,0.310679611650485,0.495145631067961,0.00970873786407767,0.184466019417476,0.358490566037736,0.490566037735849,0,2.2644801,17987,1.9511,15497.665,200751,10,0.0194174757281553,0,0,0,0,1,10,5,1,10
2010,1001,5.18054704584286,104,0,0,0,0,0,0,0,14,797010,12,5,49,76,6,3530,654,1049,0.951923076923077,0.00961538461538462,0.932692307692308,0.0384615384615385,0.00961538461538462,0,0,0.00961538461538462,0,25.6923076923077,8.72115384615385,0.221153846153846,0.480769230769231,0.298076923076923,0.0384615384615385,0.163461538461538,0.625,0.163461538461538,0.00961538461538462,0.319587628865979,0.536082474226804,0,0.144329896907216,0.413461538461538,0.432692307692308,0,2.2644801,17987,1.9511,15497.665,200751,10,0.412371134020619,0,0,0,0,1,10,5,1,10
2011,1001,5.6786765694816,114,0,0,0,0,0,0,0,14,797010,12,5,49,76,6,3530,401,921,0.93859649122807,0.0087719298245614,0.87719298245614,0.043859649122807,0.0175438596491228,0,0,0.0350877192982456,0,27.8771929824561,8.54385964912281,0.12280701754386,0.447368421052632,0.429824561403509,0.043859649122807,0.219298245614035,0.56140350877193,0.157894736842105,0.0175438596491228,0.230088495575221,0.575221238938053,0.0176991150442478,0.176991150442478,0.342105263157895,0.543859649122807,0,2.2644801,17987,1.9511,15497.665,200751,10,0.309734513274336,0,0,0,0,1,10,5,1,10
2012,1001,5.52923771238998,111,0,0,0,0,0,0,0,14,797010,12,5,49,76,6,3530,262,495,0.936936936936937,0,0.882882882882883,0.018018018018018,0.018018018018018,0,0.018018018018018,0.045045045045045,0,25.0990990990991,10.0550458715596,0.225225225225225,0.513513513513513,0.261261261261261,0,0.153153153153153,0.486486486486487,0.225225225225225,0.117117117117117,0.357798165137615,0.403669724770642,0.018348623853211,0.220183486238532,0.429906542056075,0.504672897196262,0,2.2644801,17987,1.9511,15497.665,200751,10,0.12621359223301,0,0,0,0,1,10,5,1,10
2013,1001,5.32998590293448,107,1,0,0,0,0,0,0,14,797010,12,5,49,76,6,3530,874,1440,0.925233644859813,0,0.794392523364486,0.0186915887850467,0.00934579439252336,0,0.00934579439252336,0.0186915887850467,0.0467289719626168,26.9906542056075,10.875,0.149532710280374,0.485981308411215,0.364485981308411,0.00961538461538462,0.121495327102804,0.345794392523364,0.299065420560748,0.196261682242991,0.298076923076923,0.538461538461538,0,0.163461538461538,0.346153846153846,0.548076923076923,0,2.2644801,17987,1.9511,15497.665,200751,10,0.15,0,0,0,0,1,10,5,1,10
2014,1001,5.72848952184547,115,1,1,1,1,1,0,0,14,797010,12,5,49,76,6,3530,413,530,0.921739130434783,0.00869565217391304,0.747826086956522,0.0260869565217391,0.0521739130434783,0,0.0173913043478261,0.0260869565217391,0.0173913043478261,27.3130434782609,10.6371681415929,0.165217391304348,0.434782608695652,0.4,0,0.130434782608696,0.417391304347826,0.260869565217391,0.173913043478261,0.269565217391304,0.582608695652174,0.00869565217391304,0.139130434782609,0.352941176470588,0.57843137254902,0,2.2644801,17987,1.9511,15497.665,200751,10,0.4,0,0,0,0,1,10,5,1,10
2015,1001,5.4794247600261,110,1,1,1,1,1,1,1,14,797010,12,5,49,76,6,3530,382,475,0.945454545454545,0.0181818181818182,0.763636363636364,0.0545454545454545,0.00909090909090909,0,0.00909090909090909,0.0181818181818182,0,26.1454545454545,10.9357798165138,0.181818181818182,0.5,0.318181818181818,0.00917431192660551,0.0454545454545455,0.454545454545455,0.309090909090909,0.172727272727273,0.268518518518519,0.546296296296296,0,0.185185185185185,0.405660377358491,0.547169811320755,0.00943396226415094,2.2644801,17987,1.9511,15497.665,200751,10,0.394230769230769,0.00961538461538462,0,0,0,1,10,5,1,10
2016,1001,5.13073409347899,103,1,1,1,1,1,1,1,14,797010,12,5,49,76,6,3530,383,428,0.951456310679612,0.00970873786407767,0.766990291262136,0.029126213592233,0.0194174757281553,0,0,0.00970873786407767,0,27.3106796116505,10.3861386138614,0.194174757281553,0.427184466019417,0.378640776699029,0,0.0970873786407767,0.514563106796116,0.233009708737864,0.135922330097087,0.4,0.42,0.02,0.16,0.524752475247525,0.415841584158416,0,2.2644801,17987,1.9511,15497.665,200751,10,0.364583333333333,0,0,0,0,1,10,5,1,10
2017,1001,4.38353980802088,88,1,1,1,1,1,1,1,14,797010,12,5,49,76,6,3530,391,447,0.943181818181818,0,0.75,0,0,0,0.0340909090909091,0.0113636363636364,0.0227272727272727,27.9659090909091,10.9431818181818,0.181818181818182,0.352272727272727,0.465909090909091,0,0.0909090909090909,0.443181818181818,0.261363636363636,0.204545454545455,0.369047619047619,0.488095238095238,0.0119047619047619,0.130952380952381,0.423529411764706,0.505882352941176,0,2.2644801,17987,1.9511,15497.665,200751,10,0.320987654320988,0,0,0,0,1,10,5,1,10
